Lindau,Immenstadt,Immenstadt,Kempten,Kempten,Bissenhofen,Bissenhofen,Memmingen,Senden,Senden,Memmingen,Buchloe,Kaufering,Kaufering,Kaufering,Peissenberg,Garmisch,Weilheim,Penzberg,Tutzing,Pasing,Muenchen,Muenchen,Holzkirchen,Schaftlach,Schaftlach,Holzkirchen,Muenchen,Schwaben,Schwaben,Muehldorf,Muenchen,Holzkirchen,Rosenheim,Rosenheim,Prien,Prien,Uebersee,Uebersee,Traunstein,Traunstein,Freilassing,Freilassing,Rosenheim,Muehldorf,NeumarktRott,LandauIsar,Plattling,Deggendorf,Deggendorf,Gotteszell,Gotteszell,Zwiesel,Zwiesel,Muenchen,Augsburg,Donauwoerth,Ansbach,Gunzenhausen,Pleinfeld,Treuchtlingen,Regensburg,Alling,Sinzing,Kelheim,Saal,Muenchen,NeumarktRott,LandauIsar,NeufahrnNB,NeumarktRott,Passau,Passau,Plattling,Straubing,Straubing,Geiselhoering,NeufahrnNB,NeufahrnNB,Suenching,Obertraubling,Regensburg,Regensburg,NeumarktOP,Greisselbach,Greisselbach,NeumarktOP,Feucht,Feucht,Feucht,Pasing,Buchloe,Bogingen,Neuulm,Offingen,Augsburg,Offingen,Donauwoerth,Noerdlingen,Noerdlingen,Schnelldorf,Dombuehl,Ansbach,Gunzenhausen,Pleinfeld,Georgensgmuend,Georgensgmuend,Greding,Roth,Fuerth,Nuernberg,Nuernberg,Hersbruck,Hersbruck,Schnabelwaid,Pommelsbrunn,Neukirchen,Neukirchen,Fuerth,Regensburg,Schwandorf,Cham,Cham,Schwandorf,Irrenlohe,Weiden,NeustadtWaldnaab,Weiden,Schnabelwaid,Neuenmarkt,Bayreuth,Kirchenlaibach,Neusorg,Neusorg,NeustadtWaldnaab,Wiesau,Wiesau,Wiesau,Marktredwitz,Marktredwitz,Hohenbrunn,Hohenbrunn,Oberkotzau,Fuerth,Erlangen,Erlangen,Forchheim,Forchheim,Forchheim,Bamberg,Hassfurt,Hassfurt,Oberndorf,Weigoldshausen,Oberndorf,Ebenhausen,Ebenhausen,NeustadtSaale,NeustadtSaale,Bamberg,Hochstadt,Neuenmarkt,Muenchberg,Muenchberg,Oberkotzau,Hochstadt,Fuerth,Siegelsdorf,Siegelsdorf,NeustadtAisch,NeustadtAisch,Ansbach,Rothenburg,Steinfach,Wuerzburg,Wuerzburg,Wernfeld,Hammelburg,Gemuenden,Lohr,Lohr,Amorbach
Oberreitenau,Blaichach,Seifen,Heising,Betzigau,Ebenhofen,Kaufbeuren,Heimertingen,Neuulm,Weissenhorn,Ungerhausen,Igling,Hurlach,Landsberg,Epfenhausen,Weilheim,Farchant,Witzhofen,Staltach,Feldafing,Muenchen,Wolfratshausen,Grosshesselohe,Oberwarngau,Reichersbeuern,Gmund,Darching,Riem,SanktKolomann,Hoerlkofen,Toeging,Trudering,Westerham,Raubling,Stephanskirchen,Aschau,Bernau,Staudach,Bergen,Trostberg,Lauter,Surheim,Hammerau,Schechen,Rohrbach,Ganghofen,Wallersdorf,Deggendorf,Metten,Ulrichsberg,Viechtach,Triefenried,Ludwigsthal,Zwieselau,Allach,Hochzoll,Genderkingen,Winterschneidbach,Windsfeld,Ellingen,Pappenhiem,Pruefening,Bruckdorf,Gundelshausen,Saal,Thaldorf,Feldmoching,Egglkofen,Pilsting,Ergoldsbach,Hoerbering,Tiefenbach,Schalding,Stephansposching,Pilling,Radldorf,Suenching,Nederlindhart,Eggmuehl,Taimering,Regensburg,Donaustauf,Etterzhausen,Greisselbach,Sulzbuerg,Muehlhausen,Postbauer,Wendelstein,Moosbach,Dutzendteich,Lochhausen,Lamerdingen,Inningen,Burlafingen,Burgau,Gersthofen,Gundelfingen,Woernitzstein,Duerrenzimmern,Wallerstein,Zumhaus,Bueckelberg,Sachsen,Langlau,Muehlstetten,Spalt,Roth,Hoebing,Buechenbach,Nuernberg,Behringersdorf,Moegeldorf,Pomelsbrunn,Hohenstadt,Engelmansreuth,Hartmanshof,Sulzbach,Grosssalbershof,Zirndorf,Witzlhofen,Altenschwand,Koetzting,Kothmaissling,Irrenlohe,Schwarzenfeld,NeustadtWaldnaab,Stoernstein,Parsteinhuetten,Creussen,Trebgast,Stockau,Immenreuth,Ebnath,Walderhof,Windischeschenbach,Tirschenreuth,Marktredwitz,Mitterteich,Seussen,Hohenbrunn,Wunsiedel,Roeslau,Rehau,Vach,Spardorf,Baiersdorf,Pinzberg,Hochstadt,Eggolsheim,Oberhaid,Hofheim,Obertheres,Bergrheinfeld,Muehlhausen,Oberwerm,BadKissingen,Rottershausen,Schoenau,Heustreu,Hallstadt,Burgkunstadt,Marktschorgast,Wuestenselbitz,Seulbitz,Hof,Redwitz,Burgfarnbach,Raindorf,Hagenbuechach,Dollenheim,Langenfeld,Lehrberg,Hartershofen,Ermetzhofen,Seligenstadt,Zell,Gemuenden,Diebach,Langenprozelten,Rodenbach,Partenstein,Weilbach
Schlachters,Sonthofen,Oberdorf,Dietmannsried,Wildpoldsried,MarktOberdorf,Pforzen,Fellheim,,,Sontheim,Kaufering,Klosterlechfeld,Unterdiessen,Schwabhausen,,Oberau,Diemendorf,Seeshaupt,Possenhofen,,,Deisenhofen,Schaftslach,BadToelz,,Thalham,Feldkirchen,Aufhausen,Walpertskirchen,NeuAltOetting,Haar,Brueckmuehl,Brannenburg,Endorf,,Uebersee,Marquartstein,Traunstein,,Teisendorf,Laufen,Piding,Rott,NeumarktRott,Trennbach,Otzing,,,Gotteszell,,Regen,Eisenstein,Frauenau,Dachau,Friedberg,Rain,Triesdorf,Ehlheim,Weissenburg,Solnhofen,Sinzing,Sinzing,Abbach,,Abensberg,Schleissheim,Aich,Schwaigen,Mirskofen,Massing,Fischhaus,Sandbach,Strasskirchen,Geiselhoering,Suenching,,Mallersdorf,Hagelstadt,Moosham,,,Eichhof,,Freystadt,Berching,Ochenbruck,,Winkelhaid,Nuernberg,Olching,Westerringen,Augsburg,Nersingen,Jettingen,Langweid,Lauingen,Harburg,Oettingen,Marktoffingen,Dombuehl,Lautershausen,Wicklesgreuth,Ramsberg,Georgensgmuend,,,Thalmaessing,Schwabach,,Rueckersdorf,Laufamholz,,Vorra,Vorbach,Etzelwang,Rosenberg,Schoenlind,,Regenstauf,Bodenwoehr,,Arnschwang,,Nabburg,,Floss,Schwarzenbach,Neuenreuth,Harsdorf,Seybothenreuth,Neusorg,Brand,Marktredwitz,Reuth,,,Steinmuehle,Arzberg,,,Marktleuthen,Selb,Elterdorf,Uttenreuth,Forchheim,Gosberg,,Hirschaid,Staffelbach,,Gaedheim,Weigoldshausen,Gaenheim,Poppenhausen,,Muennerstadt,Wegfurt,Unsleben,Breitenguessbach,Mainroth,Falls,Helmbrechts,Schwarzenbach,Neuhof,Oberlangenstadt,Siegelsdorf,Langenzenn,Emskirchen,Ipsheim,Marktbibart,Rosenbach,Steinach,Uffenheim,Bergtheim,Veitshoechheim,,Morlesau,Lohr,NeustadtMain,Wiesthal,Miltenberg
Hergensweiler,Altstaetten,Waltenhofen,Groenenbach,Guenzach,Leuterschach,Beckstetten,Kellmuenz,,,Stetten,,Lagerlechfeld,Asch,Tuerkenfeld,,Eschenlohe,Tutzing,Bernried,Starnberg,,,Sauerlach,,,,Muesbach,Ping,Erding,Than,Perach,Zomeding,Heufeld,Fischbach,Prien,,,,,,Freilassing,,BadReichenhall,Wasserburg,,Frontenhausen,Plattling,,,,,Tosten,,Klingenbrunn,Roehrmoos,Paar,Burgheim,Altenmuhr,Berolzheim,Groenhard,Dollnstein,,,Saal,,NeustadtDonau,Lohhof,Vilsbiburg,Gottfrieding,Landshut,Dietfurt,Kalteneck,Vilshofen,Amselfing,,,,Laberweinting,Koefering,Mangolding,,,Deuerling,,,Plankstetten,Feucht,,Altdorf,,Maisach,Schwabmuenchen,,Leipheim,Gubelbach,Meitingen,Dillingen,Hoppingen,Auhausen,Fremdingen,,Ansbach,Heilsbronn,Pleinfeld,,,,Eysoelden,Reichelsdorf,,Lauf,Roethenbach,,Rupprechtstegen,Kirchenlaibach,Neukirchen,Altmannshof,Vilseck,,Ponholz,Neubau,,FurthWald,,Pfreimd,,Waldthurn,Pressath,Bayreuth,Bindlach,Kirchenlaibach,,Unterlind,,Wiesau,,,Waldsassen,Schirnding,,,Kirchenlamitz,,Erlangen,Neunkirchen,,Pretzfeld,,Strullendorf,Stettfeld,,Schonungen,,Muedesheim,Ebenhausen,,Niederlauer,Unterweissenbrunn,Mellrichstadt,Ebing,Mainleus,Stammbach,,Oberkotzau,Koeditz,Kueps,,,NeustadtAisch,Windsheim,Hellmitzheim,Oberdachstetten,,Herrnbergtheim,Essleben,Thuengersheim,,Graefendorf,,Rothenfels,Heigenbruecken,Kleinheubach
Hergatz,Fischen,Kempten,Woringen,Aitrang,Balterratsried,Buchloe,Altenstadt,,,Mindelheim,,Ottmarshausen,Denklingen,Grafrath,,Ohlstadt,,Tutzing,Muehlthal,,,Holzkirchen,,,,Hausham,Schwaben,,Dorfen,Marktl,Kirchseeon,Kolbermoor,Oberaudorf,,,,,,,,,Kirchberg,Soyen,,Griesbach,,,,,,Zwiesel,,Spiegelau,Esterhofen,Dasing,Unterhausen,Gunzenhausen,Wettelsheim,Treuchtlingen,Eichstaett,,,,,Muenchsmuenster,Eching,Geisenhausen,Dingolfing,,Eggenfelden,Fuersteneck,Pleinting,Straubing,,,,Sallach,Obertraubling,Obertraubling,,,Laaber,,,Beilngries,,,,,Nannhofen,Grossaitingen,,Guenzburg,Dinkelscherben,Nordendorf,Steinheim,Moettingen,Wassertruedingen,Wilburgstetten,,,Raitersaich,,,,,Heideck,Eibach,,Schnaittach,Ottensoos,,Velden,,,Amberg,Langenbruck,,Haidhof,Roding,,,,Wernberg,,Albersrieth,Trabitz,,Bayreuth,,,Fichtelberg,,,,,,,,,Martinlamitz,,,Steinbach,,,,Bamberg,Ebelsbach,,Schweinfurt,,Thuengen,,,NeustadtSaale,,,Zapfendorf,Kulmbach,Muenchberg,,,Selbitz,Kronach,,,,,MarktEinersheim,Burgbernheim,,Marktbreit,Weigoldshausen,Retzbach,,Wolfsmuenster,,Hafenlohr,Laufach,Laudenbach
Roethenbach,Oberstdorf,,Memmingen,Ruderatshofen,Lengenwang,,Illertissen,,,Lamertingen,,Bobingen,Kinsau,Bruck,,Hechendorf,,,Gauting,,,,,,,Schliersee,,,Schwindegg,Buch,Grafing,Rosenheim,Kiefersfelden,,,,,,,,,Hallthurm,Gars,,Mamming,,,,,,,,Grafenau,Petershausen,Obergriesbach,Neuburg,,Treuchtlingen,,Adelschlag,,,,,Vohburg,Neufahrn,Hoehenberg,Loiching,,Herbertsfelden,Roehrnbach,Osterhofen,,,,,Geiselhoering,,,,,Beratzhausen,,,,,,,,Haspelmoor,Bobingen,,Offingen,Moedishofen,Mertingen,Hoechstaedt,Noerdlingen,Unterschwaningen,Dinkelsburg,,,Rosstal,,,,,Hilpoltstein,Nuernberg,,Reichenschwand,Henfenfeld,,Neuhaus,,,Hiltersdorf,Freihung,,Klardorf,Posing,,,,Luhe,,Vohenstrauss,Kemnath,,,,,,,,,,,,,,Oberkotzau,,,Brand,,,,,Zeil,,Oberndorf,,Eussenheim,,,,,,Ebernsfeld,Untersteinach,,,,Naila,Gundelsdorf,,,,,Iphofen,Steinach,,Ochsenfurt,,Karlburg,,Gemuenden,,Marktheidenfeld,Hoesbach,KlingenbergMain
Harbatzhofen,,,,Bissenhofen,Seeg,,Bellenberg,,,Tuerkheim,,,Hohenfurch,Aubing,,Murnau,,,Planegg,,,,,,,,,,Weidenbach,,Assling,,,,,,,,,,,Bischofswiesen,Jettenbach,,LandauIsar,,,,,,,,,Reichertshausen,Aichach,Rohrenfeld,,,,Tauberfeld,,,,,Manching,Pulling,Goetzdorf,WoerthDonau,,Kaismuehle,Waldkirchen,Langenisarhofen,,,,,,,,,,Mausheim,,,,,,,,Althegnenberg,,,,Gessertshausen,Baeumenheim,Blindheim,,Kronheim,Schopfloch,,,Stein,,,,,Freystadt,,,Hersbruck,Pommelsbrunn,,Ranna,,,Freihoele,Roethenbach,,Schwandorf,Cham,,,,Rothenstadt,,,Kirchenlaibach,,,,,,,,,,,,,,,,,Eschenau,,,,,Hassfurt,,,,Goessenheim,,,,,,Staffelstein,Neuenmarkt,,,,Marxgruen,Stockheim,,,,,Mainbernheim,,,Grossmannsdorf,,Wernfeld,,,,Trennfeld,Aschaffenburg,WoerthMain
Oberstaufen,,,,,Hopferau,,Voehringen,,,Wiedergeltingen,,,Schongau,Pasing,,Uffing,,,Pasing,,,,,,,,,,Ampfing,,Grosskarolinenfeld,,,,,,,,,,,Berchtesgaden,Kraiburg,,,,,,,,,,,Pfaffenhofen,Radersdorf,Weichering,,,,Eitensheim,,,,,Ingolstadt,Freising,Achdorf,Ahrein,,Pfarrkirchen,Karlsbach,Plattling,,,,,,,,,,Parsberg,,,,,,,,Mering,,,,Diedorf,Donauwoerth,Tapfheim,,Gunzenhausen,Feuchtwangen,,,Nuernberg,,,,,Eckersmuehlen,,,,,,Michelfeld,,,Irrenlohe,Weiherhammer,,,,,,,Weiden,,,,,,,,,,,,,,,,,,,,Forth,,,,,,,,,Wernfeld,,,,,,Lichtenfels,,,,,,Rothenkirchen,,,,,Kitzingen,,,Winterhausen,,,,,,Kreuzwertheim,,Obernburg
Thalkirchdorf,,,,,Fuessen,,Senden,,,Buchloe,,,,,,Huglfing,,,,,,,,,,,,,Muehldorf,,Rosenheim,,,,,,,,,,,,,,,,,,,,,,,Walkersbach,Hoerzhausen,Ingolstadt,,,,Gaimersheim,,,,,,Marzling,Landshut,Altheim,,Anzenkirchen,Freyung,,,,,,,,,,,Seubersdorf,,,,,,,,Kissing,,,,Westheim,,Donauwoerth,,,Dorfguetingen,,,,,,,,Roth,,,,,,Pegnitz,,,,Etzenricht,,,,,,,,,,,,,,,,,,,,,,,,,,,Igensdorf,,,,,,,,,,,,,,,Michelau,,,,,,Foertschendorf,,,,,Dettelbach,,,Heidingsfeld,,,,,,Wertheim,,Kleinwallstadt
Immenstadt,,,,,,,,,,,,,,,,Polling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolnzach,Schrobenhausen,,,,,Ingolstadt,,,,,,Lungenbach,,,,Birnbach,,,,,,,,,,,,Deining,,,,,,,,Augsburg,,,,Oberhausen,,,,,Dombuehl,,,,,,,,,,,,,,Schnabelwaid,,,,Weiden,,,,,,,,,,,,,,,,,,,,,,,,,,,Graefenberg,,,,,,,,,,,,,,,Hochstadt,,,,,,Steinbach,,,,,Rottendorf,,,Sanderau,,,,,,,,SulzbachMain
,,,,,,,,,,,,,,,,Weilheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woeg,Niederarnbach,,,,,,,,,,,Moosburg,,,,Bayerbach,,,,,,,,,,,,NeumarktOP,,,,,,,,,,,,Augsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludwigsstadt,,,,,Wuerzburg,,,Wuerzburg,,,,,,,,Obernau
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reichertshofen,Pobenhausen,,,,,,,,,,,Bruckberg,,,,Karpfham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauenstein,,,,,,,,,,,,,,,,Aschaffenburg
